,Book 1,Book 2,Book 3,Book 4,Book 5,Book 6,Book 7,Book 8,Book 9,Book 10,Book 11,Book 12
line910,"Iulus absence could no longer bear,",Restore me to the yet unfinish'd Fight:,"Alphëus, as Old Fame reports, has found","With living Drops: then let her come, and thou","Scarce had he said, when Southern Storms arise,","To find the Heroe, for whose only sake",His Father's Hydra fills his ample Shield.,"Of Tongues discordant, and a mingled War.","Or patt'ring Hail comes pouring on the Main,","The Spectre seems the Daunian Chief to dare,","Shields, Arms, and Spears, flash horrible from far;","Confus'd he stops, and backward pulls the Reins:"
line911,"Dispatch'd Achates to the Ships in hast,",My Death is wanting to conclude the Night.,From Greece a secret Passage under-ground:,"With sacred Fillets, bind thy hoary Brow.","From Pole to Pole, the forky Lightning flies;","We sought the dark Abodes, and cross'd the bitter Lake?",A hundred Serpents hiss about the Brims;,"And, rich in gaudy Robes, amidst the Strife,",When Jupiter descends in harden'd Rain.,And flourishes his empty Sword in Air:,And the Fields glitter with a waving War.,"She, who the Driver's Office now sustains,"
line912,To give a glad Relation of the past;,"Arm'd once again, my glitt'ring Sword I wield,","By Love to beauteous Arethusa led,","Thus will I pay my Vows, to Stygian Jove;","Loud ratling shakes the Mountains, and the Plain:",To this the Sacred Poet thus reply'd;,"The Son of Hercules he justly seems,",His ill Fate follows him; th' Egyptian Wife.,"Or bellowing Clouds burst with a stormy Sound,",At this advancing Turnus hurl'd his Spear;,"Oppos'd to these, come on with furious Force,","Replies; Neglect, my Lord, these new Alarms;"
line913,"And, fraught with precious Gifts, to bring the Boy",While th' other hand sustains my weighty Shield:,"And mingling here, they rowl in the same Sacred Bed.",And end the Cares of my disastrous Love.,"Heav'n bellies downward, and descends in Rain.",In no fix'd place the Happy Souls reside.,By his broad Shoulders and Gigantick Limbs.,"Moving they fight: With Oars, and forky Prows,",And with an armed Winter strew the Ground.,"The Phantom wheel'd, and seem'd to fly for Fear.","Messapus, Coras, and the Latian Horse;","Here fight, and urge the Fortune of your Arms:"
line914,Snatch'd from the Ruins of unhappy Troy:,And forth I rush to seek th' abandon'd Field.,"As Helenus enjoyn'd, we next adore",Then cast the Trojan Image on the Fire;,"Whole Sheets of Water from the Clouds are sent,",In Groves we live; and lye on mossy Beds,"Of Heav'nly part, and part of Earthly Blood,",The Froth is gather'd; and the Water glows.,"Pand'rus and Bitias, Thunder-bolts of War,","Deluded Turnus thought the Trojan fled,",These in the Body plac'd; on either hand,There want not others to defend the Wall:
line915,"A Robe of Tissue, stiff with golden Wire;","I went; but sad Creusa stop'd my way,","Diana's Name, Protectress of the Shore.","And as that burns, my Passion shall expire.","Which hissing thro' the Planks, the Flames prevent:","By Crystal Streams, that murmur through the Meads:",A mortal Woman mixing with a God.,"It seems, as if the Cyclades again","Whom Hiera, to bold Alcanor bare",And with vain hopes his haughty Fancy fed.,"Sustain'd, and clos'd by fair Camilla's Band.","If by your Rival's Hand th' Italians fall,"
line916,"An upper Vest, once Hellen's rich Attire;",And cross the Threshold in my Passage lay;,With prosp'rous Gales we pass the quiet Sounds,"The Nurse moves onward, with officious Care,",And stop the fiery Pest: Four Ships alone,"But pass yon easie Hill, and thence descend,","For strong Alcides, after he had slain","Were rooted up, and justled in the Main:","On Ida's Top, two Youths of Height and Size,","Whether, O Coward, (thus he calls aloud,","Advancing in a Line, they couch their Spears;","So shall your fatal Sword his Friends oppress,"
line917,"From Argos by the fam'd Adultress brought,",Embrac'd my Knees; and when I wou'd have gone,Of still Elorus and his fruitsul Bounds.,And all the speed her aged Limbs can bear.,Burn to the wast; and for the Fleet attone.,The Path conducts you to your Journeys end.,"The triple Geryon, drove from conquer'd Spain","Or floating Mountains, floating Mountains meet:",Like Firrs that on their Mother Mountain rise;,"Nor found he spoke to Wind, and chas'd a Cloud;)",And less and less the middle Space appears.,"In Honour equal, equal in Success."
line918,With Golden flow'rs and winding foliage wrought;,"Shew'd me my feeble Sire, and tender Son.","Then doubling Cape Pachynus, we survey","But furious Dido, with dark Thoughts involv'd,",But doubtful thoughts the Hero's Heart divide;,"This said, he led them up the Mountains brow,","His captive Herds, and thence in Triumph led;",Such is the fierce Encounter of the Fleet.,"Presuming on their Force, the Gates unbar,",Why thus forsake your Bride? Receive from me,Thick Smoak obscures the Field: And scarce are seen,"To this, the Prince; O Sister, (for I knew"
line919,"Her Mother Laeda's Present, when she came","If Death be your design, at least, said she,",The rocky Shore extended to the Sea.,Shook at the mighty Mischief she resolv'd.,"If he should still in Sicily reside,",And shews them all the shining Fields below;,On Tuscan Tyber's flow'ry Banks they fed.,Fire-balls are thrown; and pointed Jav'lins fly:,And of their own Accord invite the War.,The fated Land you sought so long by Sea.,"The neighing Coursers, and the shouting Men.","The Peace infring'd, proceeded first from you,)"
line920,"To ruin Troy, and set the World on flame.","Take us along, to share your Destiny.",The Town of Camarine from far we see;,"With livid Spots distinguish'd was her Face,","Forgetful of his Fates; or tempt the Main,","They wind the Hill, and thro' the blissful Meadows go.","Then on Mount Aventine, the Son of Jove",The Fields of Neptune take a Purple Dye.,"With Fates averse, against their King's Command,","He said, and brandishing at once his Blade,",In distance of their Darts they stop their Course;,"I knew you, when you mingled first in Fight,"
line921,"The Scepter Priam's eldest Daughter bore,","If any farther hopes in Arms remain,",And fenny Lake undrain'd by Fates decree.,"Red were her rowling Eyes, and discompos'd her Pace:",In hope the promis'd Italy to gain.,"But old Anchises, in a flow'ry Vale,","The Priestess Rhea found, and forc'd to Love.","The Queen her self, amidst the loud Alarms,","Arm'd on the right, and on the left they stand;",With eager Pace pursu'd the flying Shade.,"Then Man to Man they rush, and Horse to Horse.",And now in vain you wou'd deceive my Sight:
line922,"Her orient Necklace, and the Crown she wore;","This Place, these Pledges of your Love, maintain.","In sight of the Geloan Fields we pass,","Ghastly she gaz'd, with Pain she drew her Breath,","Then Nautes, old, and wise, to whom alone",Review'd his muster'd Race; and took the Tale.,"For Arms his Men long Piles and Jav'lins bore,",With Cymbals toss'd her fainting Souldiers warms.,"And flank the Passage: Shining Steel they wear,","By chance a Ship was fasten'd to the Shore,",The face of Heav'n their flying Jav'lins hide;,"Why, Goddess, this unprofitable Care?"
line923,"Of double texture, glorious to behold;","To whom do you expose your Father's Life,","And the large Walls, where mighty Gela was:",And Nature shiver'd at approaching Death.,"The Will of Heav'n, by Pallas was fore-shown;","Those Happy Spirits, which ordain'd by Fate,",And Poles with pointed Steel their Foes in Battel gore.,Fool as she was; who had not yet divin'd,"And waving Crests, above their Heads appear.",Which from old Clusium King Osinius bore:,And Deaths unseen are dealt on either side.,"Who sent you down from Heav'n, involv'd in Air,"
line924,"One order set with Gems, and one with Gold.","Your Son's, and mine, your now forgotten Wife!",Then Agragas with lofty Summets crown'd;,Then swiftly to the fatal place she pass'd;,"Vers'd in Portents, experienc'd and inspir'd,","For future Beings, and new Bodies wait.","Like Hercules himself, his Son appears,",Her cruel Fate; nor saw the Snakes behind.,"Thus two tall Oaks, that Padus Banks adorn,",The Planks were ready laid for safe ascent;,"Tyrrhenus, and Aconteus, void of Fear,","Your share of Mortal Sorrows to sustain,"
line925,"Instructed thus, the wise Achates goes:","While thus she fills the House with clam'rous Cries,",Long for the Race of warlike Steeds renown'd:,"And mounts the Fun'ral Pile, with furious haste.","To tell Events, and what the Fates requir'd:",With studious Thought observ'd th' illustrious Throng;,In Salvage Pomp a Lyon's Hide he wears;,"Her Country Gods, the Monsters of the Sky,",Lift up to Heav'n their leafy Heads unshorn;,For shelter there the trembling Shadow bent:,"By metled Coursers born in full Carreer,",And see your Brother bleeding on the Plain?
line926,And in his diligence his duty shows.,Our Hearing is diverted by our Eyes.,"We pass'd Selinus, and the Palmy Land,","Unsheaths the Sword the Trojan left behind,","Thus while he stood, to neither part inclin'd,",In Nature's Order as they pass'd along.,"About his Shoulders hangs the shaggy Skin,","Great Neptune, Pallas, and Love's Queen, defy.","And overpress'd with Nature's heavy load,","And skip'd, and sculk'd, and under Hatches went.","Meet first oppos'd: and, with a mighty Shock,","For, to what Pow'r can Turnus have recourse,"
line927,"But Venus, anxious for her Son's Affairs,","For while I held my Son, in the short space,","And widely shun the Lilybaean Strand,","(Not for so dire an Enterprise design'd,)",With chearful Words reliev'd his lab'ring Mind.,"Their Names, their Fates, their Conduct, and their Care,","The Teeth, and gaping Jaws severely grin.","The Dog Anubis barks, but barks in vain;","Dance to the whistling Winds, and at each other nod.","Exulting Turnus, with regardless haste,",Their Horses Heads against each other knock.,Or how resist his Fates prevailing force!
line928,New Councils tryes; and new Designs prepares:,Betwixt our Kisses and our last Embrace;,"Unsafe, for secret Rocks, and moving Sand.","But when she view'd the Garments loosely spred,","O Goddess-born, resign'd in ev'ry state,","In peaceful Senates, and successful War.","Thus like the God his Father, homely drest,",Nor longer dares oppose th' Aetherial Train.,"In flows a Tyde of Latians, when they see","Ascends the Plank, and to the Gally pass'd:",Far from his Steed is fierce Aconteus cast;,"These Eyes beheld Murranus bite the Ground,"
line929,That Cupid should assume the Shape and Face,"Strange to relate, from young Iulus Head",At length on Shore the weary Fleet arriv'd;,"Which once he wore, and saw the conscious Bed,","With Patience bear, with Prudence push your Fate.","He, when Aeneas on the Plain appears,","He strides into the Hall, a horrid Guest.","Mars, in the middle of the shining Shield","The Gate set open, and the Passage free.","Scarce had he reach'd the Prow, Saturnia's Hand","As with an Engin's force, or Lightning's blast:","Mighty the Man, and mighty Was the Wound."
line930,"Of sweet Ascanius, and the sprightly grace:","A lambent Flame arose, which gently spread",Which Drepanum's unhappy Port receiv'd.,"She paus'd, and, with a Sigh, the Robes embrac'd;","By suff'ring well, our Fortune we subdue;","Meets him with open Arms, and falling Tears.","Then two Twin-Brothers from fair Tybur came,","Is grav'd, and strides along the liquid Field.","Bold Quercens, with rash Tmarus rushing on,","The Haulsers cuts, and shoots the Ship from Land.","He rowls along in Blood, and breathes his last.","I heard my dearest Friend, with dying Breath,"
line931,"Shou'd bring the Prefents, in her Nephews stead,","Around his Brows, and on his Temples fed.","Here, after endless Labours, often tost","Then on the Couch her trembling Body cast,","Fly when she frowns, and when she calls pursue.","Welcome, he said, the Gods undoubted Race,","(Which from their Brother Tyburs took the Name,)","The Dirae sowse from Heav'n, with swift Descent:","Equicolus, that in bright Armour shone,","With Wind in Poop, the Vessel plows the Sea,",The Latin Squadrons take a sudden fright;,My Name invoking to revenge his Death:
line932,And in Eliza's Veins the gentle Poison shed.,"Amaz'd, with running Water we prepare","By raging Storms, and driv'n on ev'ry Coast,","Repress'd the ready Tears, and spoke her last.","Your Friend Acestes is of Trojan Kind,",O long expected to my dear Embrace;,"Fierce Coras, and Catillus, void of Fear,","And Discord, dy'd in Blood, with Garments rent,","And Haemon first, but soon repuls'd they fly,",And measures back with speed her former Way.,"And sling their Shields behind, to save their Backs in flight.",Brave Ufens fell with Honour on the Place;
line933,"For much she fear'd the Tyrians, double tongu'd,","To quench the sacred Fire, and shake his Hair;","My dear, dear Father, spent with Age, I lost.","Dear Pledges of my Love, while Heav'n so pleas'd,",To him disclose the Secrets of your Mind:,Once more 'tis giv'n me to behold your Face!,"Arm'd Argive Horse they led, and in the Front appear.","Divides the Preace: Her Steps, Bellona treads,",Or in the well-defended Pass they dye.,"Mean time Aeneas seeks his absent Foe,",Spurring at speed to their own Walls they drew;,To shun the shameful sight of my disgrace.
line934,And knew the Town to Juno's care belong'd.,"But old Anchises, vers'd in Omens, rear'd","Ease of my Cares, and Solace of my Pain,","Receive a Soul, of Mortal Anguish eas'd:","Trust in his Hands your old and useless Train,","The Love, and Pious Duty which you pay,","Like Cloud-born Centaurs, from the Mountain's height,",And shakes her Iron Rod above their Heads.,"These with Success are fir'd, and those with Rage;",And sends his slaughter'd Troops to Shades below.,Close in the rear the Tuscan Troops pursue:,"On Earth supine, a Manly Corps he lies;"
line935,These thoughts by Night her Golden Slumbers broke;,"His hands to Heav'n, and this request preferr'd.","Sav'd through a thousand Toils, but sav'd in vain:",My fatal Course is finish'd; and I go,Too num'rous for the Ships which yet remain:,Have pass'd the Perils of so hard a way.,With rapid Course descending to the Fight;,"This seen, Apollo, from his Actian height,",And each on equal Terms at length ingage.,"The guileful Phantom now forsook the shrowd,",And urge their flight. Asylas leads the Chase;,His Vest and Armour are the Victor's Prize.
line936,"And thus alarm'd, to winged Love she spoke.","If any Vows, Almighty Jove, can bend","The Prophet, who my future Woes reveal'd,","A glorious Name, among the Ghosts below.","The feeble, old, indulgent of their Ease,","'Tis true, computing times, I now believ'd","They rush along, the ratling Woods give way,",Pours down his Arrows: At whose winged flight,"Drawn from their Lines, and issuing on the Plain,","And flew sublime, and vanish'd in a Cloud.",'Till seiz'd with Shame they wheel about and face:,"Then, shall I see Laurentum in a flame,"
line937,"My Son, my strength, whose mighty Pow'r alone","Thy Will, if Piety can Pray'rs commend,","Yet this, the greatest and the worst, conceal'd.",A lofty City by my Hands is rais'd;,"The Dames who dread the Dangers of the Seas,",The happy Day approach'd; nor are my Hopes deceiv'd.,The Branches bend before their sweepy Sway.,"The trembling Indians, and Egyptians yield:",The Trojans hand to hand the Fight maintain.,"Too late young Turnus the Delusion found,","Receive their Foes, and raise a threat'ning Cry:",Which only wanted to compleat my shame?
line938,"Controuls the Thund'rer, on his awful Throne;",Confirm the glad Presage which thou art pleas'd to send.,"And dire Celoeno, whose foreboding Skill","Pygmalion punish'd, and my Lord appeas'd.","With all the dastard Crew, who dare not stand","What length of Lands, what Oceans have you pass'd,","Nor was Praeneste's Founder wanting there,",And soft Sabaeans quit the wat'ry Field.,"Fierce Turnus in another Quarter fought,","Far on the Sea, still making from the Ground.",The Tuscans take their turn to fear and fly.,How will the Latins hoot their Champion's flight;
line939,"To thee thy much afflicted Mother flies,","Scarce had he said, when, on our left, we hear","Denounc'd all else, was silent of this Ill:","What cou'd my Fortune have afforded more,",The shock of Battel with your Foes by Land;,"What Storms sustain'd, and on what Shores been cast?",Whom Fame reports the Son of Mulciber:,The fatal Mistress hoists her silken Sails;,When suddenly th' unhop'd for News was brought;,Then thankless for a Life redeem'd by Shame;,"So swelling Surges, with a thund'ring Roar,","How Drances will be pleas'd, and point them to the sight!"
line940,"And on thy Succour, and thy Faith relies.",A peal of ratling Thunder rowl in Air:,"This my last Labour was. Some friendly God,",Had the false Trojan never touch'd my Shore!,Here you may build a common Town for all;,"How have I fear'd your Fate! But fear'd it most,","Found in the Fire, and foster'd in the Plains;","And, shrinking from the Fight, invokes the Gales.","The Foes had left the fastness of their Place,","With sense of Honour stung, and forfeit Fame:","Driv'n on each others Backs, insult the Shoar;","Is Death so hard to bear? Ye Gods below,"
line941,"Thou know'st, my Son, how Jove's revengeful Wife,","There shot a streaming Lamp along the Sky,",From thence convey'd us to your blest Abode.,"Then kiss'd the Couch; and must I die, she said;","And from Acestes name, Acesta call.","When Love assail'd you, on the Lybian Coast.","A Shepherd and a King at once he reigns,","Aghast she looks; and heaves her Breast, for Breath:","Prevail'd in Fight, and had his Men in Chace.","Fearful besides of what in Fight had pass'd,","Bound o're the Rocks, incroach upon the Land;","(Since those above so small Compassion show,)"
line942,"By force and Fraud, attempts thy Brother's life.",Which on the winged Lightning seem'd to fly;,"Thus to the listning Queen, the Royal Guest",And unreveng'd; 'tis doubly to be dead!,"The Reasons, with his Friend's Experience join'd,","To this, the Filial Duty thus replies;",And leads to Turnus Aid his Country Swains.,"Panting, and pale with fear of future Death.","He quits th' Attack, and, to prevent their Fate,","His Hands, and hagger'd Eyes to Heav'n he cast.",And far upon the Beach eject the Sand.,"Receive a Soul unsully'd yet with shame,"
line943,And often hast thou mourn'd with me his Pains:,From o're the Roof the blaze began to move;,"His wand'ring Course, and all his Toils express'd;",Yet ev'n this Death with Pleasure I receive;,"Encourag'd much, but more disturb'd his Mind.","Your sacred Ghost, before my sleeping Eyes,","His own Praeneste sends a chosen Band,","The God had figur'd her, as driv'n along,","Runs, where the Gyant Brothers guard the Gate.","O Jove! he cry'd, for what Offence have I","Then backward with a Swing, they take their Way;",Which not belies my great Forefather's Name.
line944,Him Dido now with Blandishment detains;,And trailing vanish'd in th' Idean Grove.,"And here concluding, he retir'd to rest.","On any Terms, 'tis better than to live.","'Twas dead of Night; when to his slumb'ring Eyes,",Appear'd; and often urg'd this painful Enterprise.,With those who plough Saturnia's Gabine Land:,By Winds and Waves; and scudding thro' the Throng.,"The first he met, Antiphates the brave,",Deserv'd to bear this endless Infamy:,"Repuls'd from upper Ground, and seek their Mother Sea:","He said: And while he spoke, with flying speed,"
line945,But I suspect the Town where Juno reigns.,"It swept a path in Heav'n, and shone a Guide;",,"These Flames, from far, may the false Trojan view;",His Father's Shade descended from the Skies;,"After long tossing on the Tyrrhene Sea,","Besides the Succour which cold Anien yields,","Just opposite, sad Nilus, opens wide",But base begotten on a Theban Slave;,"Whence am I forc'd, and whether am I born,",With equal hurry quit th' invaded Shore;,Came Sages urging on his foamy Steed;
line946,"For this, 'tis needful to prevent her Art,",Then in a steaming stench of Sulphur dy'd.,,These boding Omens his base flight pursue.,And thus he spoke: O more than vital Breath,My Navy rides at Anchor in the Bay.,"The Rocks of Hernicus, and rosie Fields;","His Arms, and ample Bosom, to the Tide.",Sarpedon's Son he slew: The deadly Dart,"How, and with what Reproach shall I return?","And swallow back the Sand, and Stones they spew'd before.","Fix'd on his wounded Face a Shaft he bore,"
line947,And fire with Love the proud Phoenician's heart.,The good old Man with suppliant hands implor'd,,"She said, and struck: Deep enter'd in her side","Lov'd while I liv'd, and dear ev'n after Death;","But reach your Hand, oh Parent Shade, nor shun","Anagnia fat, and Father Amasene,",And spreads his Mantle o're the winding Coast:,"Found Passage thro' his Breast, and pierc'd his Heart.","Shall ever I behold the Latian Plain,","Twice were the Tuscans Masters of the Field,",And seeking Turnus sent his Voice before:
line948,"A Love so violent, so fond, so sure,","The Gods protection, and their Star ador'd.",,"The piercing Steel, with reeking Purple dy'd:","O Son, in various Toils and Troubles tost,",The dear Embraces of your longing Son!,"A num'rous Rout, but all of naked Men:","In which he wraps his Queen, and hides the flying Ho•••",Fix'd in the Wound th' Italian Cornel stood;,Or see Laurentum's lofty Tow'rs again?,"Twice by the Latins, in their turn repell'd.","Turnus, on you, on you alone depends"
line949,"That neither Age can change, nor Art can cure.","Now, now, said he, my Son, no more delay,",,Clog'd in the Wound the cruel Weapon stands;,The King of Heav'n employs my careful Ghost,He said; and falling Tears his Face bedew:,"Nor Arms they wear, nor Swords and Bucklers wield,","The Victor, to the Gods his Thanks express'd▪","Warm'd in his Lungs, and in his vital Blood.",What will they say of their deserting Chief?,"Asham'd at length, to the third Charge they ran",Our last Relief; compassionate your Friends.
line950,"How this may be perform'd, now take my mind:","I yield, I follow where Heav'n shews the way.",,The spouting Blood came streaming on her Hands.,On his Commands; the God who sav'd from Fire,"Then thrice, around his Neck, his Arms he threw;",Nor drive the Chariot thro' the dusty Field:,"And Rome triumphant, with his Presence bless'd.","Aphidnus next, and Erymanthus dies,","The War was mine, I fly from their Relief:","Both Hoasts resolv'd, and mingled Man to Man:","Like Lightning, fierce Aeneas, rowling on,"
line951,"Ascanius, by his Father is design'd","Keep (O my Country Gods) our dwelling Place,",,"Her sad Attendants saw the deadly Stroke,","Your flaming Fleet, and heard your just desire:",And thrice the flitting Shadow slip'd away;,But whirle from Leathern Slings huge Balls of Lead;,Three hundred Temples in the Town he plac'd:,"And Meropes, and the Gygantick Size","I led to Slaughter, and in Slaughter leave;","Now dying Groans are heard, the Fields are strow'd","With Arms invests, with Flames invades the Town:"
line952,"To come, with Presents, laden from the Port,",And guard this Relick of the Trojan Race:,,And with loud Cries the sounding Palace shook.,The Wholsom Counsel of your Friend receive;,"Like Winds, or empty Dreams that fly the Day.",And Spoils of yellow Wolves adorn their Head:,With Spoils and Altars ev'ry Temple grac'd.,"Of Bitias, threat'ning with his ardent Eyes.",And ev'n from hence their dying Groans receive.,"With falling Bodies, and are drunk with Blood:",The Brands are toss'd on high; the Winds conspire
line953,"To gratifie the Queen, and gain the Court.",This tender Child; these Omens are your own;,,Distracted from the fatal sight they fled;,"And here, the Coward Train, and Women leave:","Now in a secret Vale, the Trojan sees","The Left Foot naked, when they march to fight,","Three shining Nights, and three succeeding Days,","Not by the feeble Dart he fell oppress'd,","Here over-match'd in Fight, in heaps they lye,","Arms, Horses, Men, on heaps together lye:",To drive along the Deluge of the Fire:
line954,"I mean to plunge the Boy in pleasing Sleep,",And you can yet restore the ruin'd Town.,,And thro the Town the dismal Rumor spread.,"The chosen Youth, and those who nobly dare,","A sep'rate Grove, thro' which a gentle Breeze",But in a Bull's raw Hide they sheath the Right.,The Fields resound with Shouts; the Streets with Praise,"A Dart were lost, within that roomy Breast;",There scatter'd o're the Fields ignobly fly.,"Confus'd the Fight, and more confus'd the Cry.",All Eyes are fix'd on you; your Foes rejoice;
line955,"And, ravish'd, in Idalian Bow'rs to keep;",At least accomplish what your Signs foreshow:,,"First from the frighted Court, the Yell began,",Transport; to tempt the Dangers of the War.,"Plays with a passing Breath, and whispers thro' the Trees.","Messapus next, (great Neptune was his Sire)","The Domes with Songs, the Theatres with Plays.","But from a knotted Lance, large, heavy, strong;","Gape wide, O Earth! and draw me down alive,","Orsilochus, who durst not press too near","Ev'n the King staggers, and suspends his Choice:"
line956,Or high Cythaera: That the sweet Deceipt,"I stand resign'd, and am prepar'd to go.",,Redoubled thence from House to House it ran:,The stern Italians will their Courage try;,"And just before the Confines of the Wood,","Secure of Steel, and fated from the Fire;","All Altars flame: Before each Altar lies,",Which roar'd like Thunder as it whirl'd along:,"Or, oh ye pitying Winds, a Wretch relieve;","Strong Remulus, at distance drove his Spear;","Doubts to deliver, or defend the Town;"
line957,"May pass unseen, and none prevent the Cheat,","He said; the crackling Flames appear on high,",,"The groans of Men, with Shrieks, Laments, and Cries","Rough are their Manners, and their Minds are high.",The gliding Lethe leads her silent Flood.,In Pomp appears: And with his Ardour warms,"Drench'd in his Gore, the destin'd Sacrifice.",Not two Bull-hides th' impetuous Force withhold;,On Sands or Shelves the splitting Vessel drive:,And stuck the Steel beneath his Horses Ear:,"Whom to reject, or whom to call his Son."
line958,Take thou his Form and Shape. I beg the Grace,And driving Sparkles dance along the Sky.,,"Of mixing Women, mount the vaulted Skies.","But first to Pluto's Palace you shall go,","About the Boughs an Airy Nation flew,","A heartless Train, unexercis'd in Arms:",Great Caesar sits sublime upon his Throne;,"Nor Coat of double Male, with Scales of Gold.","Or set me Shipwrack'd on some desart Shore,","The fiery Steed, impatient of the Wound,","The Queen, on whom your utmost hopes were plac'd,"
line959,But only for a Night's revolving Space;,With Vulcan's rage the rising Winds conspire;,,"Not less the Clamour, than if ancient Tyre,",And seek my Shade among the blest below.,"Thick as the humming Bees, that hunt the Golden Dew;","The just Faliscans he to Battel brings,",Before Apollo's Porch of Parian Stone:,"Down sunk the Monster-Bulk, and press'd the Ground;",Where no Rutulian Eyes may see me more:,"Curvets, and springing upward with a Bound,","Her self suborning Death, has breath'd her last."
line960,"Thy self a Boy, assume a Boy's dissembled Face.",And near our Palace rowl the flood of Fire.,,"Or the new Carthage, set by Foes on Fire,","For not with impious Ghosts my Soul remains,","In Summer's heat, on tops of Lillies feed,",And those who live where Lake Ciminia springs;,Accepts the Presents vow'd for Victory;,"His Arms and clatt'ring Shield, on the vast Body sound.","Unknown to Friends, or Foes, or conscious Fame,",His helpless Lord cast backward on the Ground.,"'Tis true, Messapus, fearless of his Fate,"
line961,"That when amidst the fervour of the Feast,","Haste, my dear Father, ('tis no time to wait)",,"The rowling Ruin, with their lov'd Abodes,","Nor suffers, with the Damn'd, perpetual Pains;","And creep within their Bells, to suck the balmy Seed.","And where Feronia's Grove and Temple stands,",And hangs the monumental Crowns on high.,"Not with less Ruin, than the Bajan Mole,","Lest she should follow, and my flight proclaim.",Catillus pierc'd Iolas first; then drew,"With fierce Atinas Aid, defends the Gate:"
line962,"The Tyrian hugs, and fonds thee on her Breast,",And load my Shoulders with a willing Fraight.,,Involv'd the blazing Temples of their Gods.,But breaths the living Air of soft Elysian Plains.,The winged Army roams the Fields around;,Who till Fescennian or Flavinian Lands:,Vast Crowds of vanquish'd Nations march along:,"(Rais'd on the Seas the Surges to controul,)","Thus Turnus rav'd, and various Fates revolv'd,","His reeking Lance, and at Herminius threw:",On ev'ry side surrounded by the Foe;
line963,"And with sweet Kisses in her Arms constrains,","What e're befalls, your Life shall be my care,",,"Her Sister hears, and, furious with Despair,",The chast Sybilla shall your steps convey;,The Rivers and the Rocks remurmur to the sound.,"All these in order march, and marching sing","Various in Arms, in Habit, and in Tongue.","At once comes tumbling down the rocky Wall,","The Choice was doubtful, but the Death resolv'd.",The mighty Champion of the Tuscan Crew.,"The more they kill, the greater Numbers grow;"
line964,Thou may'st infuse thy Venom in her Veins.,"One Death, or one Deliv'rance we will share.",,"She beats her Breast, and rends her yellow Hair:",And Blood of offer'd Victims free the way.,"Aeneas wond'ring stood: Then ask'd the Cause,",The warlike Actions of their Sea-born King.,"Here, Mulciber assigns the proper Place","Prone to the Deep the Stones disjointed fall,","And now the Sword, and now the Sea took place:","His Neck and Throat unarm'd, his Head was bare,","An Iron Harvest mounts, and still remains to mow."
line965,"The God of Love obeys, and sets aside",My hand shall lead our little Son; and you,,"And calling on Eliza's Name aloud,",There shall you know what Realms the Gods assign;,Which to the Stream the Crowding People draws.,"Like a long Team of Snowy Swans on high,","For Carians, and th' ungirt Numidian Race;",Of the vast Pile; the scatter'd Ocean flies;,"That to revenge, and this to purge Disgrace.",But shaded with a length of yellow Hair:,"You, far aloof from your forsaken Bands,"
line966,"His Bow, and Quiver, and his plumy Pride:","My faithful Consort, shall our Steps purfue.",,"Runs breathless to the Place, and breaks the Crowd.",And learn the Fates and Fortunes of your Line.,Then thus the Sire. The Souls that throng the Flood,"Which clap their Wings, and cleave the liquid Sky,",Then ranks the Thracians in the second Row;,"Black Sands, discolour'd Froth, and mingled Mud arise.","Sometimes he thought to swim the stormy Main,","Secure, he fought, expos'd on ev'ry part,",Your rowling Chariot drive o're empty Sands.
line967,"He walks Iulus in his Mother's Sight,","Next, you my Servants, heed my strict Commands:",,"Was all that Pomp of Woe for this prepar'd,","But now, farewel; I vanish with the Night;","Are those, to Whom, by Fate, are other Bodies ow'd:","When homeward from their wat'ry Pastures born,","With Scythians, expert in the Dart and Bow.","The frighted Billows rowl, and seek the Shores:",By stretch of Arms the distant Shore to gain:,"A spacious mark for Swords, and for the Dart:","Stupid he sate, his Eyes on Earth declin'd,"
line968,And in the sweet Resemblance takes Delight.,"Without the Walls a ruin'd Temple stands,",,"These Fires, this Fun'ral Pile, these Altars rear'd;",And feel the blast of Heav'ns approaching Light:,In Lethe's Lake they long Oblivion tast;,"They sing, and Asia's Lakes their Notes return.",And here the tam'd Euphrates humbly glides;,"Then trembles Prochyta, then Ischia roars:","Thrice he the Sword assay'd, and thrice the Flood;",Across the Shoulders came the flying Wound;,And various Cares revolving in his Mind:
line969,"The Goddess then to young Ascanius flies,",To Ceres hollow'd once; a Cypress nigh,,"Was all this Train of Plots contriv'd, said she,","He said, and mix'd with Shades, and took his airy flight.","Of future Life secure, forgetful of the Past.","Not one who heard their Musick from afar,",And there the Rhine submits her swelling Tides.,"Typhoeus thrown beneath, by Jove's Command,",But Juno mov'd with Pity both withstood:,"Transfix'd, he fell, and doubled to the Ground.","Rage boiling from the bottom of his Breast,"
line970,And in a pleasing Slumber seals his Eyes;,Shoots up her venerable Head on high;,,All only to deceive unhappy me?,"Whether so fast, the filial Duty cry'd,","Long has my Soul desir'd this time, and place,",Wou'd think these Troops an Army train'd to War:,"And proud Araxes, whom no Bridge cou'd bind:","Astonish'd at the Flaw, that shakes the Land,","And thrice repress'd his Rage: strong Gales supply'd,",The Sands with streaming Blood are sanguine dy'd;,"And Sorrow mix'd with Shame, his Soul oppress'd:"
